PassengerId,HomePlanet,CryoSleep,Cabin,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Name,Transported,TotalSpending,Deck,CabinNum,Side,Group,Group_Number,Group_Size,Is_Solo
0001_01,Europa,0,B/0/P,TRAPPIST-1e,39.0,0,0.0,0.0,0.0,0.0,0.0,Maham Ofracculy,0,0.0,B,0,P,0001,01,1,1
0002_01,Earth,0,F/0/S,TRAPPIST-1e,24.0,0,109.0,9.0,25.0,549.0,44.0,Juanna Vines,1,736.0,F,0,S,0002,01,1,1
0003_01,Europa,0,A/0/S,TRAPPIST-1e,58.0,1,43.0,3576.0,0.0,6715.0,49.0,Altark Susent,0,10383.0,A,0,S,0003,01,2,0
0003_02,Europa,0,A/0/S,TRAPPIST-1e,33.0,0,0.0,1283.0,371.0,3329.0,193.0,Solam Susent,0,5176.0,A,0,S,0003,02,2,0
0004_01,Earth,0,F/1/S,TRAPPIST-1e,16.0,0,303.0,70.0,151.0,565.0,2.0,Willy Santantines,1,1091.0,F,1,S,0004,01,1,1
0005_01,Earth,0,F/0/P,PSO J318.5-22,44.0,0,0.0,483.0,0.0,291.0,0.0,Sandie Hinetthews,1,774.0,F,0,P,0005,01,1,1
0006_01,Earth,0,F/2/S,TRAPPIST-1e,26.0,0,42.0,1539.0,3.0,0.0,0.0,Billex Jacostaffey,1,1584.0,F,2,S,0006,01,2,0
0006_02,Earth,1,G/0/S,TRAPPIST-1e,28.0,0,0.0,0.0,0.0,0.0,0.0,Candra Jacostaffey,1,0.0,G,0,S,0006,02,2,0
0007_01,Earth,0,F/3/S,TRAPPIST-1e,35.0,0,0.0,785.0,17.0,216.0,0.0,Andona Beston,1,1018.0,F,3,S,0007,01,1,1
0008_01,Europa,1,B/1/P,55 Cancri e,14.0,0,0.0,0.0,0.0,0.0,0.0,Erraiam Flatic,1,0.0,B,1,P,0008,01,3,0
0008_02,Europa,1,B/1/P,TRAPPIST-1e,34.0,0,0.0,0.0,0.0,0.0,0.0,Altardr Flatic,1,0.0,B,1,P,0008,02,3,0
0008_03,Europa,0,B/1/P,55 Cancri e,45.0,0,39.0,7295.0,589.0,110.0,124.0,Wezena Flatic,1,8157.0,B,1,P,0008,03,3,0
0009_01,Mars,0,F/1/P,TRAPPIST-1e,32.0,0,73.0,0.0,1123.0,0.0,113.0,Berers Barne,1,1309.0,F,1,P,0009,01,1,1
0010_01,Earth,0,G/1/S,TRAPPIST-1e,48.0,0,719.0,1.0,65.0,0.0,24.0,Reney Baketton,0,809.0,G,1,S,0010,01,1,1
0011_01,Earth,0,F/2/P,TRAPPIST-1e,28.0,0,8.0,974.0,12.0,2.0,7.0,Elle Bertsontry,1,1003.0,F,2,P,0011,01,1,1
0012_01,Earth,0,B/82/S,TRAPPIST-1e,31.0,0,32.0,0.0,876.0,0.0,0.0,Justie Pooles,0,908.0,B,82,S,0012,01,1,1
0014_01,Mars,0,F/3/P,55 Cancri e,27.0,0,1286.0,122.0,0.0,0.0,0.0,Flats Eccle,0,1408.0,F,3,P,0014,01,1,1
0015_01,Earth,0,F/4/P,55 Cancri e,24.0,0,0.0,1.0,0.0,0.0,637.0,Carry Hughriend,0,638.0,F,4,P,0015,01,1,1
0016_01,Mars,1,F/5/P,TRAPPIST-1e,45.0,0,0.0,0.0,0.0,0.0,0.0,Alus Upead,1,0.0,F,5,P,0016,01,1,1
0017_01,Earth,0,G/0/P,TRAPPIST-1e,0.0,0,0.0,0.0,0.0,0.0,0.0,Lyde Brighttt,1,0.0,G,0,P,0017,01,2,0
0017_02,Earth,0,F/6/P,55 Cancri e,14.0,0,412.0,0.0,1.0,0.0,679.0,Philda Brighttt,0,1092.0,F,6,P,0017,02,2,0
